Region,Latitude,Longitude,Total Streams,Country
ARG,-38.4161,-63.6167,1547113284.0,Argentina
AUT,47.5162,14.5501,200894112.0,Austria
AUS,-25.2744,133.7751,1674806400.0,Australia
BEL,50.5039,4.4699,262512096.0,Belgium
BOL,-16.2902,-63.5887,41073208.32,Bolivia
BRA,-14.235,-51.9253,3065113006.0,Brazil
CAN,56.1304,-106.3468,1557774400.0,Canada
CHN,31.2304,121.4737,242438100.0,China
CHL,-35.6751,-71.543,961269120.0,Chile
COL,4.5709,-74.2973,464424334.0,Colombia
CRI,9.7489,-83.7534,215795196.0,Costa Rica
CYP,35.1264,33.4299,334348.35,Cyprus
CZE,49.8175,15.472999999999999,120986585.8,Czech Republic
DEU,51.1657,10.4515,3567998956.0,Germany
DNK,56.2639,9.5018,928136348.0,Denmark
DOM,18.7357,-70.1627,89465206.8,Dominican Republic
ECU,-1.8312,-78.1834,179756784.0,Ecuador
EST,58.5953,25.0136,17609202.38,Estonia
ESP,40.4637,-3.7492,2266146748.0,Spain
FIN,61.9241,25.7482,757294360.0,Finland
FRA,46.2276,2.2137,1724268808.0,France
GBR,55.3781,-3.4360000000000004,4478537136.0,United Kingdom
GRC,39.1742,21.8243,33474597.67,Greece
GTM,15.7853,-90.2308,101495718.4,Guatemala
HKG,22.3964,114.1095,179760852.0,Hong Kong
HND,15.2,-86.2419,57032577.84,Honduras
HUN,47.1625,19.5033,88828389.1,Hungary
IDN,-0.7893,113.9213,674419950.0,Indonesia
IRL,53.4129,-8.2439,391568956.0,Ireland
ISL,64.9631,-19.0208,43209311.2,Iceland
ITA,41.8719,12.5674,1321258376.0,Italy
JPN,36.2048,138.2529,149158282.9,Japan
LTU,55.1694,23.8813,22486507.68,Lithuania
LVA,56.8796,24.6032,20334007.44,Latvia
MEX,23.6345,-102.5528,3803110824.0,Mexico
MYS,4.2105,101.9758,381518736.0,Malaysia
NLD,53.1326,5.2913,2098702444.0,Netherlands
NOR,60.472,8.4689,1255228408.0,Norway
NZL,-40.9006,174.886,472792000.0,New Zealand
PAN,8.538,-80.7821,73461451.68,Panama
PER,-9.19,-75.0152,616923500.0,Peru
PHL,12.8797,121.774,2002906016.0,Philippines
POL,51.9194,19.1451,450967632.0,Poland
PRT,39.3999,-8.2245,270104804.0,Portugal
PRY,-23.4425,-58.4438,89978020.24,Paraguay
SWE,60.1282,18.6435,2114073156.0,Sweden
SGP,1.3521,103.8198,453276900.0,Singapore
SVK,48.669,19.699,23835028.18,Slovakia
SLV,13.7942,-88.8965,45364570.31,El Salvador
TUR,38.9637,35.2433,500307048.0,Turkey
LBY,23.6978,12.9605,265941432.0,Libya
USA,37.0902,-95.7129,15906667384.0,United States
URY,-32.5228,-55.7658,109705070.4,Uruguay
